Официальное название,Размерная группа,Основные Факты ,Описание
Австралийский мист,средние,"Общительные / Легко приспосабливаются / Тихие / Не требует интенсивного ухода за шерстью /
Подходит для содержания в помещении и на улице / Терпеливое отношение к другим животным и детям
Австралийский мист — чрезвычайно живая кошка, которая любит находиться в обществе людей. Эту породу отличает общительный, тихий и уравновешенный характер, и она отлично подходит для семей, пар, одиноких или пожилых владельцев.
","Кошки этой породы хорошо ладят с детьми, терпимы к физическому контакту и редко царапаются. Это очень умные и спокойные животные."
Азиатская ,средние,"Живые / Общительные / Общительные / Энергичные / Ласковые / Умные / Уверенные/ Требуется уход за шерстью в умеренном объеме / Подходит для содержания в помещении и на улице / Хорошо ладит с людьми
Азиатские кошки жизнерадостны и общительны, грациозны и энергичны. Эта порода насчитывает пять разновидностей: одноцветная, азиатская дымчатая, азиатская затушеванная, азиатская табби и полудлинношерстная тиффани.
","Как правило, они общительны и уверены в себе, способны уживаться с другими кошками, но иногда могут быть своенравными. Они не слишком шумные, но охотно откликаются голосом, если с ними заговорить."
Американская жесткошерстная кошка,средние,"Спокойные / Общительные / Тихие / Ласковые / Игривые / Умные / Независимые / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Терпеливое отношение к другим животным и детям
Американские жесткошерстные кошки известны своей терпеливостью по отношением к детям. Это спокойные кошки, но даже в пожилом возрасте они могут быть очень игривы. Как правило, эти умные животные интересуются всем, что происходит вокруг.","

Многие американские жесткошерстные кошки с удовольствием проявляют свой охотничий инстинкт при ловле насекомых, залетевших в дом. Они любят находится среди людей, но сохраняют свою независимость. Многим из них нравится проводить время на коленях своего владельца, другие же предпочитают просто находиться рядом."
Американский бобтейл,крупные,"Общительные / Спокойные / Привязчивые / Умные / Дружелюбные / Игривые / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Терпеливое отношение к другим животным и детям
Американские бобтейлы — это привязчивые и невероятно умные кошки. Они очень хорошо взаимодействуют и привязываются к семье, демонстрируя большую преданность. Они будут часто затевать игры со своими владельцами и проявлять дома свои охотничьи инстинкты, ловя прямо в воздухе пролетающих насекомых.","
Будучи в основном тихим животным, американский бобтейл известен своей необычной вокализацией в моменты радости, напоминающей птичьи трели и щебетание. Эта спокойная порода ладит с большинством собак и хорошо относится к новым людям и животным."
Американский керл,средние ,"Дружелюбные / Привязчивые / Общительные / Спокойные / Умные / Игривые / Требуется уход за шерстью в умеренном объеме / Больше всего подходит для постоянного содержания в помещении / Требует постоянного внимания


Американские керлы любят людей, они дружелюбны и обладают уравновешенным характером. Они очень умны и игривы. Важно, чтобы владелец уделял им достаточно внимания, так как этой породе не нравится быть в стороне от домашней жизни.
","У них тихий голос, и они не слишком разговорчивы, однако способны выразить свои желания кротким урчанием или воркованием. Они до старости остаются котятами в душе."
Бенгальская ,средние ,"Активная порода / Общительная и привязанная к хозяину / Шумная / Требуется уход за шерстью в умеренном объеме / Негипоаллергенная порода / Активная порода, которой необходим доступ к территориям вне помещения / Терпеливое отношение к другим животным и детям","Потрясающий окрас бенгальских кошек с леопардовыми пятнами выделяет эту породу среди других. Уникальная пятнистая, или крапчатая, шерсть — лишь одна из ее привлекательных особенностей, наряду с уверенностью в себе, огромной любознательностью и безудержной энергией. Какими бы независимыми они ни казались, бенгалы сильно привязываются к людям, поэтому много внимания вам обеспечено. Эта порода была выведена заводчиками в начале 60-х годов путем скрещивания домашней кошки с окрасом табби с дикой азиатской леопардовой кошкой. Это объясняет интригующий двоякий характер бенгальской кошки, не говоря уже о ее необычном внешнем виде."
Бомбейская,средние,"Умные / Ласковые / Общительные / Уравновешенные / Активные / Не требует интенсивного ухода за шерстью / Подходит для содержания в помещении и на улице / Не следует оставлять в одиночестве
Бомбейская кошка уживается с людьми, ведущими активный образ жизни, и обычно отлично ладит со всеми членами семьи. Бомбейская кошка сочетает в себе характеристики двух кошек — покладистый характер и крепкое здоровье американской короткошерстной с общительным, любознательным и ласковым нравом бурманской.
","Кошки этой породы очень активны и проявляют интерес ко всему, что происходит вокруг. Бомбейские кошки очень общительны и не любят оставаться в одиночестве. Если вы отсутствуете дома большую часть дня, то следует завести кошку другой породы."
Британская короткошерстная ,крупные,Игривая порода / Дружелюбная / Тихая  / Не требует интенсивного ухода за шерстью / Негипоаллергенная порода / Любит прогулки на улице / Хорошо ладит с людьми,"Как же не влюбиться в эту замечательную кошку? Ее пухлая мордочка и шелковистый мех очень привлекательны, но по-настоящему неотразимой ее делают хорошие манеры. Едва слышное мяуканье и сильное мурлыканье являются их отличительной чертой. К тому же они любят ласку, но только в удобное для них время. В остальное время они остаются внимательными наблюдателями и молчаливыми компаньонами."
Бурманская кошка,средние,"Игривые / Ласковые / Общительные / Энергичные / Уверенные / Не требует интенсивного ухода за шерстью / Подходит для содержания в помещении и на улице / Наиболее счастливы при содержании в паре
Благодаря своему нраву бурманская кошка заслужила всеобщую любовь — эти животные сильно привязываются к владельцам и отлично уживаются с детьми и другими домашними животными.
","Это ловкие и уверенные в себе кошки, способные совершать очень высокие прыжки, когда хотят поймать что-нибудь в воздухе. Если вы вынуждены оставлять кошку одну на долгое время, лучше заведите еще одно животное, чтобы она не скучала."
Бурмилла,средние ,"Общительные / Тихие / Дружелюбные / Умные / Подходит для содержания в помещении и на улице / Требует постоянного внимания / Требуется уход за шерстью в умеренном объеме

","Бурмилла должна чувствовать себя частью семьи. Кошки этой породы любят внимание, заботу и ласку. Несмотря на любопытство и дружелюбие, бурмилла опасается незнакомых людей, но со временем привыкает к ним.

Эти привязчивые, тихие кошки обладают веселым и кротким нравом, любят своих владельцев и отлично уживаются с другими домашними животными и детьми. Ум, любознательность и дружелюбие этих ласковых кошек — одни из самых привлекательных качеств бурмиллы."
