Официальное название,Размерная группа,Породные особенности,Основные факты,Описание
Корейская собака хиндо,Средние,Умеет за себя постоять / Настороженные / Преданные / Уверенные,"Требует большой физической активности
Требуется умеренная дрессировка
Отличный компаньон","Корейские собаки хиндо отличаются высокоразвитым охотничьим инстинктом и врожденным чувством направления. Это храбрые, бдительные, внимательные собаки, которые не поддаются на провокации. Своим внешним видом с настороженно поднятыми ушами и свернутым в кольцо или серповидным хвостом хиндо демонстрируют ловкость, силу, бдительность и достоинство."
Крашская овчарка,Средние,Уверенные / Независимые / Уравновешенные / Послушный,"Отличная сторожевая собака
Требует минимального ухода за шерстью
Отличная собака для семьи","Известные своим хорошим характером, смелостью и отвагой, крашские овчарки — очень преданные и умеренно активные животные. Они неподкупные сторожевые собаки. Недоверчивые к посторонним, они могут быть ласковыми и послушными собаками-компаньонами, сохраняющими при этом сильное чувство индивидуальности."
Кромфорлендер,Средние,Настороженные / Умные / Уравновешенные / Легко приспосабливаются / Спокойные,"Отличная собака для семьи
Требуется груминг в умеренном объеме
Требуются умеренные физические нагрузки","Кромфорлендеры — это семейные собаки и собаки-компаньоны, которые легко поддаются дрессировке. Они быстро адаптируются к обстоятельствам, но держатся на расстоянии от незнакомых людей.
"
"
Ксолоитцкуинтли",Средние,Спокойные / Тихие / Дружелюбные / Настороженные / Умные / Уравновешенные,"Отличная собака для семьи
Отличная сторожевая собака
Наличие сада не обязательно","Ксолоитцкуинтли (или шолоитцкуинтли) — это тихие, спокойные собаки с веселым и любознательным характером. Они недоверчивы к незнакомым людям и всегда настороже, что делает из них отличных сторожевых псов и замечательных компаньонов. Иногда эту породу называют мексиканскими голыми собаками. На родине она получила популярность из-за необычной внешности и спокойного характера. Порода особенно прославилась благодаря умению морщить брови и характерному «ирокезу». Ксолоитцкуинтли бывают трех различных размеров, так что собаки этой породы подойдут для содержания в любом доме."
Лапландская оленегонная собака,Средние,Спокойные / Дружелюбные / Живые / Кроткие,"Отличная спортивная собака
Хорошо поддается дрессировке
Требуется груминг в умеренном объеме","Лапландская оленегонная собака — это в первую очередь рабочая порода Этих послушных, спокойных и дружелюбных животных хвалят за энергичность и увлеченность. Выполняя свою работу, они часто лают. Собаки этой породы легко поддаются дрессировке, привязаны к людям благодаря «пастушьему» происхождению и активности, поэтому оптимально подходят для спортивных дисциплин."
Малая голубая гасконская гончая,Средние,Спокойные / Привязчивые / Решительные / Послушный,"Требует минимального ухода за шерстью
Требуется умеренная дрессировка
Требуется доступ к площадке на улице","Малая голубая гасконская гончая — это уменьшенная копия большой голубой гасконской гончей. Она была выведена в одно время с большой голубой гасконской гончей для охоты на мелкую дичь. Собаки этой породы средних размеров, отличаются изящным и пропорциональным телосложением. Малая голубая гасконская гончая подходит не только для охоты. Это привязчивая и послушная собака, которая отлично уживется в большинстве семей. Обычно у собак этой породы по бокам головы есть черное пятно, которое проходит через уши и глаза и заканчивается на щеках."
Малый вандейский бассет гриффон,Средние,Живые / Полные энтузиазма / Спокойные / Решительные,"Требует большой физической активности
Отличная собака для семьи","Этих собак используют для охоты на территориях средней площади, особенно для охоты на кроликов, хотя они умело работают и с другой дичью.
Малые вандейские бассет гриффоны — это смелые и полные энтузиазма охотники, которые с воодушевлением готовы пробираться сквозь колючие кустарники и заросли. Хотя эти небольшие собаки имеют спокойный характер, они выполняют команды усердно и с энтузиазмом."
Малый мюнстерлендер,Средние,Привязчивые / Кроткие / Независимые / Умные / Жизнерадостный,"Отличная собака для семьи
Терпеливое отношение к другим животным и детям
Требуется груминг в умеренном объеме","Малые мюнстерлендеры — умные и быстро обучаемые собаки. Темпераментные, но при этом уравновешенные, они обладают устойчивым характером, внимательны и дружелюбны к людям.
Это хорошие семейные собаки, которые легко получают навыки социализации. На охоте это идеальные командные игроки, которые поддерживают тесный контакт со своими владельцами."
Немецкая гончая,Средние,Привязчивые / Уравновешенные,"Требует минимального ухода за шерстью
Отличная собака для семьи
Требуется владелец с некоторым опытом","Немецкая гончая — это легкая, поджарая, грациозная охотничья собака, которая тем не менее отличается крепким телосложением, с благородной формой головы, плотным кожным покровом и хорошо поставленным, но довольно толстым хвостом, выделяющимся на фоне изящного общего вида.
Благодаря своей привязчивой натуре и спокойному нраву эти собаки, как правило, становятся замечательными домашними питомцами, хотя им требуется владелец с некоторым опытом ухода за гончими."
Немецкий пинчер,Средние,Живые / Полные энтузиазма / Уверенные / Уравновешенные / Умные / Жизнерадостный / Настороженные,"Отличная собака для семьи
Отличная сторожевая собака","Немецкие пинчеры отличаются живым и уравновешенным характером, они бдительны и уверены в себе. Благодаря этим чертам в сочетании с высоким интеллектом и выносливостью, которых у этих собак в избытке, немецкие пинчеры становятся идеальными семейными питомцами, компаньонами и сторожевыми собаками.
Распространенные окрасы пинчеров — черный с рыжими или коричневыми отметинами или сплошной окрас от рыжевато-коричневого до темного рыже-коричневого. Встречаются также собаки таких окрасов, как «перец с солью», серовато-голубой и черный. Немецкие пинчеры — это собаки средних размеров квадратного формата.

"
